name,Website,Headquarters,Size,Founded,Type,Industry,Revenue
 Infosys,www.infosys.com,"Bangalore, India",10000+ Employees,1981,Company - Public (INFY),IT Services,$10+ billion (USD)
 Wipro,www.wipro.com,"Bangalore, India",10000+ Employees,1945,Company - Public (WIT),IT Services,$5 to $10 billion (USD)
 Accenture,www.accenture.com,"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD)
 Amazon,www.amazon.jobs,"Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),Internet,$10+ billion (USD)
 Cognizant Technology Solutions,www.cognizant.com,"Teaneck, NJ",10000+ Employees,1994,Company - Public (CTSH),Consulting,$10+ billion (USD)
 IBM,www.ibm.com,"Armonk, NY",10000+ Employees,1911,Company - Public (IBM),IT Services,$10+ billion (USD)
 Tata Consultancy Services,www.tcs.com,"Mumbai, India",10000+ Employees,1968,Company - Public (TCSN),Computer Hardware & Software,$10+ billion (USD)
 Capgemini,,,,,,,
 Oracle,www.oracle.com,"Redwood City, CA",10000+ Employees,1977,Company - Public (ORCL),Enterprise Software & Network Solutions,$10+ billion (USD)
 Deloitte,www.deloitte.com,"New York, NY",10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD)
 EY,www.ey.com,"London, United Kingdom",10000+ Employees,1989,Company - Private,Accounting,$10+ billion (USD)
 J.P. Morgan,www.jpmorgan.com,"New York, NY",10000+ Employees,1799,Company - Public (JPM),Investment Banking & Asset Management,$10+ billion (USD)
 PwC,www.pwc.com,"New York, NY",10000+ Employees,1998,Company - Private,Accounting,$5 to $10 billion (USD)
 Société Générale,www.societegenerale.com,"Paris, France",10000+ Employees,1864,Company - Public (GLE),Investment Banking & Asset Management,$10+ billion (USD)
 KPMG,www.home.kpmg/fr/fr/home.html,"Courbevoie, France",10000+ Employees,1987,Company - Private,Consulting,$1 to $2 billion (USD)
 Genpact,www.genpact.com,"New York, NY",10000+ Employees,1997,Company - Public (G),IT Services,$2 to $5 billion (USD)
 Deutsche Bank,www.db.com,"Frankfurt am Main, Germany",10000+ Employees,1870,Company - Public (DB),Banks & Building Societies,$10+ billion (USD)
 UBS,www.ubs.com,"Zürich, Switzerland",10000+ Employees,1862,Company - Public (UBS),Investment Banking & Asset Management,$10+ billion (USD)
 State Street,www.statestreet.com,"Boston, MA",10000+ Employees,1792,Company - Public (STT),Investment Banking & Asset Management,$10+ billion (USD)
 Teleperformance,www.teleperformance.com,"Paris, France",10000+ Employees,1978,Company - Public (RCF),Research & Development,$2 to $5 billion (USD)
 Sopra Steria,www.soprasteria.fr/carrieres,"Annecy-le-Vieux, France",10000+ Employees,1968,Company - Public (SOP:EN Paris),IT Services,$2 to $5 billion (USD)
 Randstad,www.randstad.com,"Amsterdam, Netherlands",10000+ Employees,1960,Company - Public,Staffing & Outsourcing,$10+ billion (USD)
 Orange,www.orange.jobs,"Paris, France",10000+ Employees,1988,Company - Private,Telecommunications Services,$10+ billion (USD)
 Atos,www.atos.net,"Bezons, France",10000+ Employees,1919,Company - Public (ATO),IT Services,$10+ billion (USD)
 Capgemini Engineering,www.capgemini-engineering.com,"Paris, France",10000+ Employees,1967,Company - Public,IT Services,$10+ billion (USD)
 Carrefour,www.carrefour.com,"Massy, France",10000+ Employees,1958,Company - Private,General Merchandise & Superstores,Unknown / Non-Applicable
 McDonald's,www.mcdonalds.com,"Chicago, IL",10000+ Employees,1955,Company - Public (MCD),Fast-Food & Quick-Service Restaurants,$10+ billion (USD)
 IBEX Global,www.ibex.co/about.php?section=career,"Washington, DC",10000+ Employees,2002,Company - Public (IBEX),Staffing & Outsourcing,Unknown / Non-Applicable
 AXA,www.axa.com/en/careers,"Paris, France",10000+ Employees,1985,Company - Private,Insurance Operators,Unknown / Non-Applicable
 Scotiabank,www.scotiabank.com,"Toronto, Canada",10000+ Employees,1832,Company - Public (BNS),Investment Banking & Asset Management,$10+ billion (USD)
 Hinduja Global Solutions,www.joinhgs.com,"Bangalore, India",10000+ Employees,2000,Company - Public (HGS),Business Service Centres & Copy Shops,$500 million to $1 billion (USD)
 Conduent,www.conduent.com,"Florham Park, NJ",10000+ Employees,2017,Company - Public (CNDT),IT Services,Unknown / Non-Applicable
 PizzaExpress,www.pizzaexpress.com,"Uxbridge, United Kingdom",5001 to 10000 Employees,1965,Company - Private,Casual Restaurants,$100 to $500 million (USD)
 Huawei Technologies,www.huawei.com,"Shenzhen, China",10000+ Employees,1987,Company - Private,Telecommunications Services,$10+ billion (USD)
 StarTek,www.startek.com,"Greenwood Village, CO",10000+ Employees,1987,Company - Public (SRT),Advertising & Marketing,$100 to $500 million (USD)
 Lidl,www.lidl.ie,"Karlsruhe, Germany",10000+ Employees,1994,Company - Private,Grocery Shops & Supermarkets,$10+ billion (USD)
 Manpower,www.manpower.com,"Uxbridge, United Kingdom",5001 to 10000 Employees,1948,Subsidiary or Business Segment,Staffing & Outsourcing,$10+ billion (USD)
 CGI,www.cgi.com,"Montreal, Canada",10000+ Employees,1976,Company - Public (GIB),Consulting,$10+ billion (USD)
 Sanofi,www.sanofi.com,"Paris, France",10000+ Employees,1973,Company - Public (SNY),Biotech & Pharmaceuticals,$10+ billion (USD)
 Hays,www.haysplc.com,"London, United Kingdom",5001 to 10000 Employees,1968,Company - Private,Staffing & Outsourcing,$1 to $2 billion (USD)
 Dell Technologies,jobs.dell.com,"Round Rock, TX",10000+ Employees,1984,Company - Public (DELL),IT Services,$10+ billion (USD)
 Schneider Electric,www.se.com,"Paris, France",10000+ Employees,1836,Company - Public,Energy,$10+ billion (USD)
 GE,www.ge.com,"Boston, MA",10000+ Employees,1892,Company - Public (GE),Industrial Manufacturing,$10+ billion (USD)
 Complétude,www.completude.com,"Paris, France",501 to 1000 Employees,1984,Company - Private,Education Training Services,Unknown / Non-Applicable
 Sutherland,www.sutherlandglobal.com,"Pittsford, NY",10000+ Employees,1986,Company - Private,Staffing & Outsourcing,$1 to $2 billion (USD)
 STMicroelectronics,www.st.com,"Geneva, Switzerland",10000+ Employees,1987,Company - Public (STM),Electrical & Electronic Manufacturing,$5 to $10 billion (USD)
 Adecco,www.adecco.com,"Zürich, Switzerland",10000+ Employees,1996,Company - Public (ADEN),Staffing & Outsourcing,$10+ billion (USD)
 Mars,www.mars.com,"Mc Lean, VA",10000+ Employees,1911,Company - Private,Food & Drink Manufacturing,$10+ billion (USD)
